text,categories,subcategory
burns and heavy bleeding at scene,['health'],normal
"office is burning, people trapped inside",['fire'],normal
burglary attempt at office,['police'],normal
short circuit fire near factory,['fire'],critical
person fainted after accident,['health'],normal
training exercise completed successfully,['non-emergency'],normal
smoke coming from the residential area,['fire'],critical
training exercise completed successfully,['non-emergency'],normal
robbery reported at office,['police'],critical
need ambulance for fever,['health'],normal
fight broke out near office,['police'],critical
fight broke out near station,['police'],critical
need ambulance for burns,['health'],critical
person unconscious after accident,['health'],normal
burglary attempt at office,['police'],critical
burglary attempt at market,['police'],normal
"warehouse is burning, people trapped inside",['fire'],critical
smoke coming from the factory,['fire'],normal
individual suffering from fever,['health'],critical
burns and heavy bleeding at scene,['health'],critical
fight broke out near school,['police'],critical
short circuit fire near residential area,['fire'],critical
fight broke out near market,['police'],critical
fight broke out near school,['police'],critical
explosion heard at factory,['fire'],critical
person fainted after accident,['health'],critical
fever and heavy bleeding at scene,['health'],normal
explosion heard at factory,['fire'],critical
safety drill conducted at factory,['non-emergency'],normal
robbery reported at market,['police'],normal
robbery reported at school,['police'],critical
fever and heavy bleeding at scene,['health'],normal
training exercise completed successfully,['non-emergency'],normal
"market is burning, people trapped inside",['fire'],normal
"school is burning, people trapped inside",['fire'],critical
fire in the station,['fire'],critical
need ambulance for chest pain,['health'],critical
routine maintenance ongoing,['non-emergency'],normal
need ambulance for fever,['health'],normal
short circuit fire near school,['fire'],normal
burglary attempt at school,['police'],critical
no issues reported in warehouse,['non-emergency'],normal
training exercise completed successfully,['non-emergency'],normal
car stolen from market,['police'],critical
burns and heavy bleeding at scene,['health'],critical
patient is fainted and not responding,['health'],critical
fire in the residential area,['fire'],critical
fight broke out near market,['police'],normal
person unconscious after accident,['health'],normal
need ambulance for severe headache,['health'],normal
suspect with knife seen in residential area,['police'],critical
false alarm triggered in warehouse,['non-emergency'],normal
false alarm triggered in market,['non-emergency'],normal
person bleeding after accident,['health'],critical
fight broke out near warehouse,['police'],critical
individual suffering from chest pain,['health'],normal
flames spreading rapidly in market,['fire'],critical
suspect with gun seen in market,['police'],critical
everything is fine at residential area,['non-emergency'],normal
smoke coming from the office,['fire'],critical
"severe breathing difficulty, need medical help",['health'],critical
routine maintenance ongoing,['non-emergency'],normal
patient is fainted and not responding,['health'],critical
car stolen from residential area,['police'],normal
suspect with knife seen in market,['police'],critical
fight broke out near school,['police'],normal
fire in the station,['fire'],critical
individual suffering from breathing difficulty,['health'],critical
gunshots heard near school,['police'],critical
burns and heavy bleeding at scene,['health'],critical
fire in the school,['fire'],critical
smoke coming from the station,['fire'],critical
burns and heavy bleeding at scene,['health'],critical
gunshots heard near residential area,['police'],normal
flames spreading rapidly in factory,['fire'],critical
"station is burning, people trapped inside",['fire'],normal
suspect with crowbar seen in factory,['police'],critical
safety drill conducted at warehouse,['non-emergency'],normal
individual suffering from fever,['health'],normal
burglary attempt at office,['police'],critical
explosion heard at station,['fire'],normal
gunshots heard near station,['police'],critical
robbery reported at factory,['police'],normal
need ambulance for severe headache,['health'],normal
false alarm triggered in warehouse,['non-emergency'],normal
smoke coming from the school,['fire'],critical
robbery reported at residential area,['police'],critical
fight broke out near station,['police'],critical
fire in the factory,['fire'],normal
smoke coming from the residential area,['fire'],normal
"severe breathing difficulty, need medical help",['health'],critical
false alarm triggered in residential area,['non-emergency'],normal
burglary attempt at market,['police'],critical
need ambulance for fever,['health'],critical
short circuit fire near residential area,['fire'],normal
"residential area is burning, people trapped inside",['fire'],critical
routine maintenance ongoing,['non-emergency'],normal
individual suffering from burns,['health'],normal
robbery reported at residential area,['police'],critical
suspect with knife seen in factory,['police'],critical
gunshots heard near warehouse,['police'],critical
flames spreading rapidly in factory,['fire'],critical
fire in the residential area,['fire'],critical
training exercise completed successfully,['non-emergency'],normal
fight broke out near station,['police'],normal
need ambulance for breathing difficulty,['health'],critical
robbery reported at residential area,['police'],critical
fire in the school,['fire'],critical
short circuit fire near school,['fire'],critical
burns and heavy bleeding at scene,['health'],normal
suspect with knife seen in residential area,['police'],normal
fight broke out near school,['police'],critical
car stolen from school,['police'],critical
explosion heard at office,['fire'],critical
suspect with bat seen in office,['police'],normal
explosion heard at school,['fire'],critical
suspect with gun seen in warehouse,['police'],critical
routine maintenance ongoing,['non-emergency'],normal
burglary attempt at warehouse,['police'],critical
individual suffering from fever,['health'],critical
flames spreading rapidly in market,['fire'],normal
smoke coming from the station,['fire'],normal
fire in the factory,['fire'],critical
false alarm triggered in factory,['non-emergency'],normal
smoke coming from the warehouse,['fire'],critical
fight broke out near school,['police'],critical
false alarm triggered in market,['non-emergency'],normal
safety drill conducted at market,['non-emergency'],normal
smoke coming from the office,['fire'],normal
fight broke out near school,['police'],normal
individual suffering from severe headache,['health'],normal
suspect with gun seen in residential area,['police'],critical
burglary attempt at office,['police'],normal
"factory is burning, people trapped inside",['fire'],critical
short circuit fire near market,['fire'],normal
car stolen from station,['police'],critical
fight broke out near residential area,['police'],critical
fight broke out near market,['police'],normal
individual suffering from chest pain,['health'],critical
fight broke out near office,['police'],critical
individual suffering from fever,['health'],normal
safety drill conducted at office,['non-emergency'],normal
"severe burns, need medical help",['health'],normal
robbery reported at warehouse,['police'],critical
burns and heavy bleeding at scene,['health'],critical
training exercise completed successfully,['non-emergency'],normal
routine maintenance ongoing,['non-emergency'],normal
safety drill conducted at residential area,['non-emergency'],normal
explosion heard at school,['fire'],normal
gunshots heard near office,['police'],normal
flames spreading rapidly in office,['fire'],critical
routine maintenance ongoing,['non-emergency'],normal
false alarm triggered in warehouse,['non-emergency'],normal
breathing difficulty and heavy bleeding at scene,['health'],normal
gunshots heard near station,['police'],critical
"station is burning, people trapped inside",['fire'],critical
robbery reported at market,['police'],normal
patient is injured and not responding,['health'],normal
training exercise completed successfully,['non-emergency'],normal
fire in the market,['fire'],critical
false alarm triggered in market,['non-emergency'],normal
suspect with bat seen in factory,['police'],normal
"severe breathing difficulty, need medical help",['health'],normal
safety drill conducted at factory,['non-emergency'],normal
robbery reported at school,['police'],normal
training exercise completed successfully,['non-emergency'],normal
"severe burns, need medical help",['health'],normal
no issues reported in warehouse,['non-emergency'],normal
"severe severe headache, need medical help",['health'],critical
no issues reported in residential area,['non-emergency'],normal
person bleeding after accident,['health'],critical
need ambulance for burns,['health'],normal
no issues reported in residential area,['non-emergency'],normal
"warehouse is burning, people trapped inside",['fire'],critical
smoke coming from the station,['fire'],normal
individual suffering from severe headache,['health'],normal
gunshots heard near market,['police'],normal
patient is injured and not responding,['health'],critical
"severe breathing difficulty, need medical help",['health'],critical
explosion heard at residential area,['fire'],critical
burglary attempt at residential area,['police'],normal
severe headache and heavy bleeding at scene,['health'],normal
car stolen from warehouse,['police'],normal
robbery reported at warehouse,['police'],normal
smoke coming from the market,['fire'],critical
explosion heard at market,['fire'],normal
"station is burning, people trapped inside",['fire'],normal
everything is fine at market,['non-emergency'],normal
"market is burning, people trapped inside",['fire'],critical
"severe chest pain, need medical help",['health'],critical
flames spreading rapidly in market,['fire'],normal
no issues reported in market,['non-emergency'],normal
fire in the office,['fire'],critical
short circuit fire near office,['fire'],critical
suspect with bat seen in school,['police'],critical
robbery reported at factory,['police'],critical
"market is burning, people trapped inside",['fire'],critical
patient is fainted and not responding,['health'],critical
no issues reported in warehouse,['non-emergency'],normal
need ambulance for breathing difficulty,['health'],normal
flames spreading rapidly in market,['fire'],normal
suspect with knife seen in school,['police'],critical
severe headache and heavy bleeding at scene,['health'],critical
patient is unconscious and not responding,['health'],normal
fight broke out near residential area,['police'],normal
safety drill conducted at warehouse,['non-emergency'],normal
gunshots heard near school,['police'],critical
fire in the office,['fire'],critical
training exercise completed successfully,['non-emergency'],normal
suspect with crowbar seen in residential area,['police'],normal
fight broke out near warehouse,['police'],critical
gunshots heard near factory,['police'],critical
training exercise completed successfully,['non-emergency'],normal
training exercise completed successfully,['non-emergency'],normal
training exercise completed successfully,['non-emergency'],normal
burglary attempt at residential area,['police'],critical
car stolen from warehouse,['police'],critical
routine maintenance ongoing,['non-emergency'],normal
burglary attempt at warehouse,['police'],critical
individual suffering from chest pain,['health'],critical
car stolen from station,['police'],normal
individual suffering from breathing difficulty,['health'],normal
short circuit fire near office,['fire'],normal
fight broke out near office,['police'],normal
routine maintenance ongoing,['non-emergency'],normal
smoke coming from the factory,['fire'],critical
fight broke out near market,['police'],critical
burglary attempt at station,['police'],normal
chest pain and heavy bleeding at scene,['health'],normal
no issues reported in office,['non-emergency'],normal
"warehouse is burning, people trapped inside",['fire'],critical
gunshots heard near factory,['police'],critical
robbery reported at residential area,['police'],normal
no issues reported in residential area,['non-emergency'],normal
safety drill conducted at residential area,['non-emergency'],normal
smoke coming from the office,['fire'],normal
fever and heavy bleeding at scene,['health'],critical
individual suffering from burns,['health'],normal
flames spreading rapidly in factory,['fire'],critical
fight broke out near factory,['police'],normal
routine maintenance ongoing,['non-emergency'],normal
routine maintenance ongoing,['non-emergency'],normal
fire in the warehouse,['fire'],normal
person collapsed after accident,['health'],critical
person injured after accident,['health'],critical
burns and heavy bleeding at scene,['health'],critical
individual suffering from chest pain,['health'],normal
flames spreading rapidly in residential area,['fire'],critical
training exercise completed successfully,['non-emergency'],normal
routine maintenance ongoing,['non-emergency'],normal
gunshots heard near factory,['police'],critical
false alarm triggered in school,['non-emergency'],normal
no issues reported in residential area,['non-emergency'],normal
